exit_time,direction,entry_price,exit_price,notional,exit_reason,pnl_usdt,capital,drawdown
2026-02-14 08:00:00+00:00,long,84.48,85.233766,30057.3716,TP2,238.1273,10238.1273,0.0
2026-02-14 22:35:00+00:00,long,87.6,88.405105,34068.7539,TP2,279.0469,10517.1742,0.0
2026-02-16 11:05:00+00:00,short,85.58,85.48,24466.4564,TIMEOUT,4.1225,10521.2967,0.0
2026-02-19 02:05:00+00:00,short,81.61,81.94675,50995.8737,SL,-261.4218,10259.8749,0.024847
2026-02-20 05:30:00+00:00,long,82.61,83.304031,34933.2618,TP2,258.5514,10518.4263,0.000273
2026-02-23 07:40:00+00:00,short,78.42,79.557,14509.3226,SL,-224.8778,10293.5484,0.021646
2026-02-26 01:50:00+00:00,long,87.83,88.4,7808.5386,TIMEOUT,42.8674,10336.4158,0.017572
2026-02-28 13:05:00+00:00,short,79.13,78.88,14822.4367,TIMEOUT,32.0069,10368.4228,0.01453
2026-03-01 08:20:00+00:00,long,86.82,86.52,14942.4042,TIMEOUT,-66.5748,10301.848,0.020858
2026-03-01 11:05:00+00:00,long,85.35,85.37,10221.014,TIMEOUT,-7.8259,10294.0221,0.021601
2026-03-03 01:45:00+00:00,long,86.68,86.67,14394.6091,TIMEOUT,-16.0553,10277.9668,0.023127
2026-03-04 14:30:00+00:00,long,89.12,91.329313,12688.7952,TP2,301.8705,10579.8373,0.0
2026-03-06 20:50:00+00:00,short,85.29,85.05,15867.3142,TIMEOUT,28.7822,10608.6195,0.0
2026-03-08 01:30:00+00:00,short,83.29,82.767665,50509.0056,TP2,266.2471,10874.8666,0.0
2026-03-09 19:15:00+00:00,long,84.58,85.601638,27147.6471,TP2,300.7675,11175.6341,0.0
2026-03-10 01:50:00+00:00,long,84.95,85.68,15803.0814,TIMEOUT,119.9974,11295.6315,0.0
2026-03-12 09:45:00+00:00,short,85.75,86.596375,22888.2091,SL,-248.8008,11046.8306,0.022026
2026-03-13 08:35:00+00:00,long,88.59,89.29,21783.8336,TIMEOUT,150.3426,11197.1733,0.008716
2026-03-14 05:10:00+00:00,short,88.41,88.25,42136.4018,TIMEOUT,34.12,11231.2932,0.005696
2026-03-14 15:20:00+00:00,short,87.2,86.79,35898.9698,TIMEOUT,132.8921,11364.1853,0.0
2026-03-14 21:50:00+00:00,short,87.03,87.2205,56820.9264,SL,-181.1963,11182.989,0.015945
2026-03-16 10:45:00+00:00,long,92.87,93.67,19938.8373,TIMEOUT,151.8181,11334.8071,0.002585
2026-03-18 19:50:00+00:00,short,89.91,89.63,18233.0316,TIMEOUT,38.5487,11373.3559,0.0
2026-03-21 08:00:00+00:00,long,90.06,90.01,53088.9242,TIMEOUT,-82.5631,11290.7928,0.007259
2026-03-25 15:15:00+00:00,long,92.17,91.218625,21877.2276,SL,-247.6931,11043.0997,0.029038
2026-03-26 14:50:00+00:00,short,87.86,87.246993,55215.4984,TP2,330.0277,11373.1274,2e-05
2026-03-27 17:40:00+00:00,short,83.56,82.485115,25978.8423,TP2,308.2033,11681.3307,0.0
2026-03-30 16:45:00+00:00,long,83.77,84.06,26265.2594,TIMEOUT,64.6614,11745.9921,0.0
2026-03-31 14:00:00+00:00,short,81.24,82.015875,24597.89,SL,-259.5177,11486.4743,0.022094
2026-04-05 12:30:00+00:00,short,79.97,79.361659,42823.9326,TP2,282.9428,11769.4171,0.0
2026-04-07 05:45:00+00:00,short,79.94,79.420973,57346.8772,TP2,314.9896,12084.4067,0.0
2026-04-07 10:25:00+00:00,short,80.1,79.76,28744.2012,TIMEOUT,93.2661,12177.6728,0.0
2026-04-08 08:05:00+00:00,long,84.21,84.49,36706.2847,TIMEOUT,85.3429,12263.0157,0.0
2026-04-08 13:05:00+00:00,long,84.33,84.952702,47876.8571,TP2,305.6513,12568.667,0.0
2026-04-08 13:50:00+00:00,long,84.35,84.13775,62843.335,SL,-220.9761,12347.6909,0.017582
2026-04-12 12:35:00+00:00,short,82.24,82.33375,61738.4546,SL,-132.1176,12215.5733,0.028093
2026-04-14 13:30:00+00:00,long,85.74,86.408616,44544.9551,TP2,302.8246,12518.398,0.004
2026-04-15 14:00:00+00:00,short,83.5,83.54,39594.1754,TIMEOUT,-58.5614,12459.8365,0.008659
2026-04-17 03:55:00+00:00,long,88.2,87.67,25460.9344,TIMEOUT,-178.4575,12281.379,0.022857
2026-04-17 19:25:00+00:00,long,89.37,89.19,24878.0132,TIMEOUT,-74.9848,12206.3943,0.028823
2026-04-22 08:55:00+00:00,long,87.64,88.233487,51032.4815,TP2,294.5533,12500.9476,0.005388
2026-04-27 15:00:00+00:00,short,85.28,84.73563,62504.7379,TP2,336.4836,12837.4312,0.0
2026-04-28 00:50:00+00:00,short,84.51,84.78,52410.2082,TIMEOUT,-219.855,12617.5762,0.017126
2026-04-29 09:45:00+00:00,long,84.44,84.992921,53304.7222,TP2,295.7394,12913.3156,0.0
2026-05-03 08:15:00+00:00,short,83.79,83.979375,64566.5782,SL,-210.4944,12702.8212,0.016301
2026-05-04 08:40:00+00:00,long,84.71,84.73,21216.1377,TIMEOUT,-16.207,12686.6142,0.017556
2026-05-05 18:45:00+00:00,long,85.17,85.74,42941.6366,TIMEOUT,244.4452,12931.0593,0.0
2026-05-06 14:05:00+00:00,long,88.75,87.667375,21200.9055,SL,-279.8221,12651.2372,0.02164
2026-05-07 00:30:00+00:00,long,88.97,88.578125,57445.8987,SL,-310.4706,12340.7666,0.045649
2026-05-09 06:10:00+00:00,long,93.05,94.006611,34118.7248,TP2,316.6426,12657.4092,0.021162
2026-05-09 11:20:00+00:00,long,93.37,93.59,63283.6573,TIMEOUT,85.8264,12743.2356,0.014525
