exit_time,direction,entry_price,exit_price,notional,exit_reason,pnl_usdt,capital,drawdown
2026-02-17 05:10:00+00:00,long,30.877,30.496,16208.399,SL,-216.2084,9783.7916,0.021621
2026-02-17 14:45:00+00:00,short,29.71,29.267334,21377.1979,TP2,297.1335,10080.9251,0.0
2026-02-20 05:40:00+00:00,long,29.306,29.518559,49024.118,TP2,306.5526,10387.4777,0.0
2026-02-23 08:30:00+00:00,short,27.762,27.645,8745.1612,TIMEOUT,28.1104,10415.5881,0.0
2026-02-25 09:15:00+00:00,short,27.007,26.824233,46765.3844,TP2,269.7148,10685.3029,0.0
2026-02-25 21:35:00+00:00,long,28.651,28.956531,88497.0878,TP2,855.2273,11540.5302,0.0
2026-03-01 03:25:00+00:00,long,30.326,30.986,9870.1812,TIMEOUT,204.9395,11745.4697,0.0
2026-03-03 12:45:00+00:00,short,32.128,31.581919,19209.4914,TP2,307.2953,12052.7651,0.0
2026-03-05 23:30:00+00:00,short,30.786,30.496,28270.9658,TIMEOUT,238.0377,12290.8028,0.0
2026-03-17 02:50:00+00:00,long,40.513,40.516,14416.5115,TIMEOUT,-13.349,12277.4539,0.001086
2026-03-22 14:25:00+00:00,short,38.221,38.371,37000.3205,TIMEOUT,-182.2097,12095.2442,0.015911
2026-03-26 11:15:00+00:00,short,39.252,38.926,26293.5285,TIMEOUT,192.0824,12287.3265,0.000283
2026-03-31 13:40:00+00:00,short,36.125,36.374525,35577.9718,SL,-281.3245,12006.002,0.023172
2026-04-02 01:05:00+00:00,short,36.156,35.901017,56356.8983,TP2,341.0883,12347.0903,0.0
2026-04-02 07:20:00+00:00,short,35.335,34.882606,39398.0753,TP2,465.0157,12812.106,0.0
2026-04-06 12:25:00+00:00,long,37.222,37.033488,50595.2879,SL,-306.8374,12505.2686,0.023949
2026-04-08 12:40:00+00:00,long,39.237,39.560424,58231.031,TP2,421.7572,12927.0258,0.0
2026-04-10 19:40:00+00:00,long,41.911,41.699125,51141.907,SL,-309.6824,12617.3433,0.023956
2026-04-14 04:55:00+00:00,long,44.465,44.879318,41948.1413,TP2,348.918,12966.2613,0.0
2026-04-16 20:35:00+00:00,short,44.076,43.457076,27889.1479,TP2,363.7358,13329.9971,0.0
2026-04-20 03:15:00+00:00,short,41.38,40.984,21019.159,TIMEOUT,180.1308,13510.128,0.0
2026-05-01 06:40:00+00:00,long,40.146,39.918862,47757.6444,SL,-317.9602,13192.1678,0.023535
2026-05-05 10:45:00+00:00,long,42.977,43.322507,62153.8658,TP2,437.5222,13629.6899,0.0
2026-05-11 10:35:00+00:00,short,41.936,41.742276,111174.2625,TP2,402.3967,14032.0866,0.0
