exit_time,direction,entry_price,exit_price,notional,exit_reason,pnl_usdt,capital,drawdown
2026-02-14 05:50:00+00:00,long,68812.6,68739.69,50000.0,SL,-102.9772,9897.0228,0.010298
2026-02-19 01:40:00+00:00,short,66581.3,66777.4975,49485.1139,SL,-195.3047,9701.7181,0.029828
2026-02-23 09:30:00+00:00,short,65496.5,66027.6775,23925.2822,SL,-217.9596,9483.7585,0.051624
2026-02-25 01:10:00+00:00,long,64049.5,64653.758911,42541.2102,TP2,358.8031,9842.5616,0.015744
2026-02-25 23:40:00+00:00,long,68402.0,67889.12,26253.7397,SL,-223.105,9619.4566,0.038054
2026-03-01 01:50:00+00:00,long,66383.1,67558.2393,25502.0982,TP2,425.9459,10045.4025,0.0
2026-03-03 05:45:00+00:00,long,68420.8,67960.9725,29894.4486,SL,-230.8025,9814.6,0.022976
2026-03-03 14:45:00+00:00,short,67503.5,66084.411715,19364.494,TP2,387.7244,10202.3245,0.0
2026-03-05 02:55:00+00:00,long,72678.9,72468.9,25425.7292,TIMEOUT,-98.8914,10103.4331,0.009693
2026-03-07 04:00:00+00:00,short,68308.4,68009.454447,50517.1654,TP2,170.5667,10273.9997,0.0
2026-03-07 14:05:00+00:00,short,68090.8,67695.002037,51369.9987,TP2,247.2333,10521.2331,0.0
2026-03-15 13:05:00+00:00,long,71594.0,71459.1125,52606.1654,SL,-151.7194,10369.5137,0.01442
2026-03-16 12:45:00+00:00,long,73050.2,73751.1,24766.1722,TIMEOUT,212.8596,10582.3733,0.0
2026-03-19 04:05:00+00:00,short,71339.0,70779.493572,52911.8663,TP2,362.0719,10944.4452,0.0
2026-03-24 00:00:00+00:00,long,70515.4,71069.734978,54722.226,TP2,375.4596,11319.9048,0.0
2026-03-26 15:05:00+00:00,short,69617.4,69122.872631,56599.524,TP2,345.4553,11665.3601,0.0
2026-03-28 04:05:00+00:00,short,66317.3,66095.8,58326.8007,TIMEOUT,136.4849,11801.845,0.0
2026-04-04 21:55:00+00:00,long,67199.8,67447.883894,59009.2252,TP2,158.8372,11960.6823,0.0
2026-04-06 09:10:00+00:00,long,68880.7,69342.705634,59803.4114,TP2,341.3178,12302.0001,0.0
2026-04-08 12:35:00+00:00,long,71512.5,71912.98019,61510.0006,TP2,282.9548,12584.9549,0.0
2026-04-12 20:50:00+00:00,short,71205.4,71338.8525,62924.7745,SL,-180.8578,12404.0971,0.014371
2026-04-18 03:25:00+00:00,long,77012.8,77139.3,62020.4854,TIMEOUT,39.8534,12443.9505,0.011204
2026-04-19 12:05:00+00:00,short,75367.4,75624.765,62219.7523,SL,-274.6881,12169.2624,0.033031
2026-04-20 05:50:00+00:00,short,74643.5,74261.0,33801.3493,TIMEOUT,139.4089,12308.6712,0.021953
2026-04-20 23:15:00+00:00,long,75922.2,75643.7025,61543.3561,SL,-287.2964,12021.3748,0.044782
2026-04-26 17:00:00+00:00,long,77803.0,77932.0,60106.8739,TIMEOUT,39.5524,12060.9271,0.041639
2026-04-27 13:35:00+00:00,short,77864.5,77792.1,60304.6357,TIMEOUT,-4.2322,12056.695,0.041976
2026-05-01 08:10:00+00:00,long,76959.8,77203.088103,60283.4749,TP2,130.2868,12186.9818,0.031623
2026-05-03 07:05:00+00:00,short,78249.0,78346.08,60934.9091,SL,-136.5341,12050.4477,0.042472
2026-05-05 22:30:00+00:00,long,81374.4,81230.6025,60252.2386,SL,-166.7246,11883.7232,0.05572
2026-05-10 01:00:00+00:00,long,80638.4,80540.33,59418.6158,SL,-131.6818,11752.0414,0.066183
2026-05-10 08:25:00+00:00,long,80660.8,80814.167246,58760.207,TP2,52.9656,11805.007,0.061975
2026-05-12 00:20:00+00:00,long,81684.5,81521.2575,59025.0349,SL,-176.9837,11628.0233,0.076038
2026-05-14 03:05:00+00:00,short,79558.1,79166.185026,58140.1164,TP2,228.2667,11856.29,0.0579
