exit_time,direction,level,profit_level,exit_reason,notional,entry_capital,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-07-18 14:00:00+00:00,short,0,1,TP,524.2193644862348,10484.387289724695,0.0,19.8692,10504.2565,0.0
2021-10-20 13:00:00+00:00,short,10,0,MAX_SL,525.2128249946237,10504.256499892474,0.521983,-5257.9056,5246.3509,0.50055
2021-10-25 07:00:00+00:00,long,2,0,TP,262.3175454435648,5246.350908871296,0.004115,15.1705,5261.5214,0.499106
2021-10-28 19:00:00+00:00,long,4,0,TP,263.0760721663638,5261.521443327276,0.008052,26.0878,5287.6092,0.496622
2021-11-01 07:00:00+00:00,long,1,0,TP,264.38046193169174,5287.609238633835,0.000806,10.1015,5297.7107,0.495661
2021-11-03 19:00:00+00:00,long,1,0,TP,264.8855365243739,5297.710730487478,6.8e-05,10.1208,5307.8315,0.494697
2021-11-05 06:00:00+00:00,long,0,0,TP,265.391576015681,5307.83152031362,0.000405,5.0424,5312.874,0.494217
2021-11-07 00:00:00+00:00,long,0,0,TP,265.6436980128959,5312.873960257918,1.7e-05,5.0472,5317.9212,0.493737
2021-11-14 23:00:00+00:00,long,2,5,TP,265.8960595260082,5317.921190520163,0.002734,40.7003,5358.6215,0.489862
2024-02-28 08:00:00+00:00,long,10,0,TP,267.9310740495566,5358.621480991133,0.402289,68.2873,5426.9088,0.483361
2024-03-01 20:00:00+00:00,long,0,0,TP,271.34543865448757,5426.908773089751,0.000551,5.1556,5432.0643,0.48287
2024-03-03 16:00:00+00:00,long,0,0,TP,271.6032168212093,5432.064336424186,0.0,5.1605,5437.2248,0.482379
2024-03-06 05:00:00+00:00,long,3,0,TP,271.86123987718946,5437.224797543789,0.005704,21.2275,5458.4523,0.480358
2024-03-11 07:00:00+00:00,long,1,1,TP,272.9226129703761,5458.452259407522,0.000667,15.6595,5474.1118,0.478867
2024-03-13 07:00:00+00:00,long,0,1,TP,273.70558770088365,5474.111754017673,0.000237,10.4236,5484.5354,0.477875
2024-03-15 00:00:00+00:00,long,1,0,TP,274.2267688361457,5484.5353767229135,0.001784,10.4777,5495.0131,0.476877
2024-03-15 07:00:00+00:00,long,0,0,TP,274.75065389391614,5495.013077878322,0.0,5.2203,5500.2333,0.476381
2024-03-17 02:00:00+00:00,long,0,0,TP,275.01166701511534,5500.233340302307,0.0,5.2252,5505.4586,0.475883
2024-03-20 18:00:00+00:00,long,5,0,TP,275.2729280987797,5505.4585619755935,0.012644,33.3875,5538.8461,0.472705
2024-04-02 02:00:00+00:00,short,5,1,TP,276.94230545121803,5538.846109024361,0.02479,34.7309,5573.577,0.469398
2024-04-10 22:00:00+00:00,long,2,1,TP,278.67885001126155,5573.577000225231,0.002563,21.4231,5595.0001,0.467359
2024-04-22 03:00:00+00:00,long,8,2,TP,279.7500060192951,5595.000120385902,0.031251,65.4799,5660.4801,0.461125
2024-04-29 03:00:00+00:00,short,0,0,TP,283.0240029949893,5660.480059899785,0.000381,5.3775,5665.8575,0.460613
2024-04-30 08:00:00+00:00,short,0,0,TP,283.2928757978345,5665.85751595669,0.000187,5.3826,5671.2401,0.460101
2024-05-09 10:00:00+00:00,short,5,0,TP,283.56200402984246,5671.240080596849,0.01573,30.4182,5701.6583,0.457205
2024-05-10 14:00:00+00:00,short,1,0,TP,285.0829128844437,5701.658257688874,0.001432,10.7784,5712.4366,0.456179
2024-06-18 01:00:00+00:00,short,8,1,TP,285.621831387016,5712.436627740321,0.039521,47.6677,5760.1043,0.451641
